Approach,Features,Accuracy,Balanced Accuracy,F1 Macro,F1 Weighted,Evaluated on
Shipped Exoplanetarium ensemble (own data & split),19,0.7200435729847494,0.680405109132555,0.6751447739573616,0.7241229567369665,production test split
Research baseline: Logistic Regression,112,0.8291514932107207,0.7940150423896134,0.7921804222869591,0.8271420542194307,development CV
"Production recipe, retrained on this split",19,0.7351097178683386,0.6753917967554331,0.6758187555742472,0.7283702257888884,sealed holdout
Research model: Soft Voting ensemble,112,0.867816091954023,0.8334282216100398,0.8365585017846096,0.8645787797668353,sealed holdout
