Model,Accuracy,Balanced Accuracy,Precision Macro,Recall Macro,F1 Macro,F1 Weighted,Accuracy SD,Training Time (s),Wall Time (s)
No treatment (reference),0.8630066997747804,0.8274505905492588,0.8354504574389011,0.8274505905492588,0.8299919169354913,0.8599649064257668,0.00537741588590626,94.49416136741638,97.41701054573059
Balanced class weights,0.8581688991086628,0.8258759796880423,0.8281793414056743,0.8258759796880423,0.8261873560034239,0.8560945650695604,0.003688267706429537,105.07245206832886,107.71905517578125
RandomOverSampler (in-fold),0.8615691315763128,0.8283675689055604,0.8331052132345202,0.8283675689055604,0.8297900259472876,0.8592455991768688,0.00370820620518641,100.33572626113892,103.57865762710571
SMOTE (in-fold),0.8596088575427879,0.8310175944735322,0.8297866240060259,0.8310175944735322,0.8301294918225401,0.8590549902859369,0.0015823721164848637,92.40263199806213,94.87456846237183
Median imputation only (control),0.8603922336338086,0.8232789018644426,0.8323607041588639,0.8232789018644426,0.8263283338494041,0.8571278713724861,0.005426115620994537,75.88257551193237,78.75639081001282
