feature,importance,std
koi_max_mult_ev,0.08227028427015849,0.00565563641131576
koi_prad,0.015352666613297306,0.0029347718393861145
koi_dikco_msky,0.014471488871949711,0.002072071958168811
koi_count,0.009244139965490205,0.003458140473852452
duration_period_consistency,0.00801145937019777,0.0024824093941798464
koi_model_snr,0.0056066095085326225,0.00300035061721667
koi_dicco_msky,0.004918631180611599,0.0036454816674509516
koi_srho_err1,0.004506705997307903,0.0022426525617413604
koi_fwm_stat_sig,0.004207430204373331,0.0019352833471583005
sngle_mult_ev_ratio,0.0038196870063211485,0.002036547018596555
koi_fwm_sdeco,0.00296776121993404,0.0018464330916506504
koi_impact,0.0028251969467408488,0.0017316238721324327
koi_fwm_srao,0.0025025727356712936,0.0018428429304245314
koi_steff,0.0024857314584708634,0.0019184100276750243
koi_bin_oedp_sig,0.002282262132202284,0.002593159650855262
koi_tce_plnt_num,0.0022726106724763493,0.0009804012450639885
koi_duration,0.002123305174719192,0.0019144353711266532
koi_num_transits,0.00197902179409426,0.002811247950446741
koi_dicco_mra_err,0.0016695477345689657,0.002232395182537834
koi_smet,0.0015723713393147043,0.0034273215032005503
koi_fwm_sdec_err,0.001456131497470592,0.002016708367853624
koi_dor,0.0013575131472438385,0.001822111437812968
koi_fwm_pdeco_err,0.001327544288490279,0.0012688264168514447
koi_dikco_msky_err,0.0012894772455946612,0.0023228194636736215
koi_depth,0.0009884639367830571,0.0021394474948387685
koi_period,0.0009723678412329351,0.0015232140857076644
koi_ror_err1,0.0009338554025157597,0.0013842865497157584
koi_time0,0.0008556581733723756,0.0008241099375697056
log_koi_max_mult_ev,0.0008304259449382512,0.0008930064797181386
koi_max_sngle_ev,0.0008098871426043041,0.0029947103475730175
koi_dikco_mdec,0.0006944331782929525,0.0016428457197867213
koi_depth_err2,0.0006799050607193546,0.0013075120701218504
scaled_teq,0.0006457934763867912,0.0007331634080609216
koi_fwm_prao,0.0005834306215824925,0.0025001042161720095
koi_jmag,0.0005108468572643354,0.0012304473390161359
impact_factor,0.0004479519935126519,0.000748082844165018
log_koi_sma,0.00044217750607673524,0.0001473925020255784
log_koi_model_snr,0.0004396895089696207,0.00045358512249028707
koi_incl,0.00043494697836259365,0.001599361565410814
ra,0.0004095483726675897,0.0018339710223784383
