Model,Accuracy,Balanced Accuracy,Precision Macro,Recall Macro,F1 Macro,F1 Weighted,Accuracy SD,Training Time (s),Wall Time (s)
Soft Voting ensemble,0.8620920928866278,0.8254244556271045,0.8350339850324838,0.8254244556271045,0.8286578044924167,0.858787778129307,0.0024084079035772716,198.73033094406128,201.78565502166748
Soft Voting (tuned boosters only),0.8615668259413898,0.8250667534081924,0.834764335258366,0.8250667534081924,0.8282199416959035,0.8582368775648384,0.0046238449248545066,100.80268716812134,103.55833888053894
XGBoost (tuned),0.860783535454936,0.8240239881023165,0.8340615130898789,0.8240239881023165,0.8274069473391459,0.8574995252786263,0.0014435618177233351,67.38037872314453,69.83642673492432
LightGBM (tuned),0.8593446026025593,0.8227454801762413,0.8311126614508231,0.8227454801762413,0.8253409041349922,0.8560088645463347,0.00504598108116923,24.653352975845337,27.089218139648438
